birthday,gender,age,height,sport,noc,gold,silver,bronze
2001-07-24,1,22,1.64,Dragon Boat,THA,0,0,1
2002-06-15,0,21,1.81,Baseball,SGP,0,0,0
2005-11-03,0,17,1.86,Taekwondo,PLE,0,0,0
1995-07-14,0,28,1.9,Judo,THA,0,0,0
2003-03-01,1,20,1.71,Rowing,IND,0,0,0
1999-03-07,0,24,1.72,Archery,PAK,0,0,0
1977-07-28,0,46,1.63,Shooting,QAT,0,0,0
1999-10-20,1,23,1.58,Boxing,TJK,0,0,0
1978-07-01,0,45,1.74,Bridge,BAN,0,0,0
2000-01-06,1,23,1.54,Rugby Sevens,JPN,0,1,0
1998-03-25,0,25,1.7,Basketball,QAT,0,0,0
1991-08-09,1,32,1.63,Softball,JPN,1,0,0
2001-10-02,0,22,1.68,Boxing,JPN,0,1,0
1997-01-15,0,26,1.68,Hockey,THA,0,0,0
2000-02-12,0,23,1.76,Triathlon,HKG,0,0,1
1998-09-23,0,25,1.77,Hockey,IND,1,0,0
2008-06-16,1,15,1.65,Table Tennis,JPN,0,1,1
2003-06-27,0,20,1.76,Table Tennis,JPN,0,0,0
2006-03-18,1,17,1.57,Sailing,THA,0,0,0
2000-02-17,0,23,1.6,Hockey,SGP,0,0,0
2001-04-14,1,22,1.5,Weightlifting,INA,0,0,0
1991-03-04,0,32,1.72,Dragon Boat,INA,1,1,1
1993-08-10,0,30,1.82,Dragon Boat,INA,1,1,1
1996-01-06,0,27,1.78,Hockey,IND,1,0,0
1997-09-14,1,26,1.71,Taekwondo,THA,0,0,1
1986-09-06,0,37,1.79,Volleyball,BRN,0,0,0
1989-04-10,0,34,1.65,Athletics,MDV,0,0,0
2004-07-21,0,19,1.91,Shooting,PAK,0,0,0
2001-07-31,0,22,1.74,Football,BRN,0,0,0
1999-02-16,1,24,1.57,Football,PHI,0,0,0
1998-11-27,0,24,1.74,Sepaktakraw,JPN,0,0,1
1999-02-21,0,24,1.9,Volleyball,INA,0,0,0
1994-06-29,0,29,1.9,Basketball,BRN,0,0,0
2001-11-27,0,21,1.7,Football,BRN,0,0,0
2004-02-09,0,19,1.62,Hockey,BAN,0,0,0
2000-02-18,0,23,1.72,Kabaddi,BAN,0,0,0
1998-02-01,0,25,1.61,Cricket,BAN,0,0,1
2001-10-12,0,21,1.7,Hockey,BAN,0,0,0
1999-06-26,0,24,1.71,Football,BAN,0,0,0
2002-09-09,0,21,1.55,Cricket,BAN,0,0,1
1998-01-27,1,25,1.68,Boxing,INA,0,0,0
2000-12-24,0,22,1.9,Weightlifting,TKM,0,0,0
2004-01-24,0,19,1.72,Cycling Track,MAS,0,0,1
1995-05-11,0,28,1.55,Rowing,INA,0,0,1
2006-04-14,0,17,1.74,Ju-jitsu,THA,0,0,0
1992-07-17,0,31,1.79,Badminton,IND,0,1,1
1985-11-30,1,37,1.75,Beach Volleyball,JPN,0,0,0
2001-11-20,1,21,1.58,Hockey,JPN,0,0,0
1996-08-24,0,27,1.62,Wrestling,JPN,1,0,0
1990-08-11,0,33,1.7,Karate,QAT,0,0,0
2003-04-22,1,20,1.69,Cycling Road,AFG,0,0,0
2000-07-08,1,23,1.74,Cycling Road,AFG,0,0,0
1993-12-15,0,29,1.8,Cycling Track,JPN,1,0,0
1995-03-15,0,28,1.8,Canoe Sprint,JPN,0,1,0
1991-08-24,0,32,1.7,Judo,JPN,0,1,0
2001-02-02,1,22,1.63,Weightlifting,JPN,0,0,0
1997-04-13,0,26,1.8,Athletics,QAT,0,0,0
2002-01-07,1,21,1.55,Athletics,MDV,0,0,0
1998-01-06,0,25,1.7,Esports,MDV,0,0,0
2007-08-23,1,16,1.57,Table Tennis,PAK,0,0,0
1998-10-30,0,24,1.82,Cricket,BAN,0,0,1
1992-11-22,1,30,1.7,Volleyball,AFG,0,0,0
1993-10-08,1,30,1.86,Shooting,BRN,0,0,0
2004-01-07,0,19,1.85,Football,SYR,0,0,0
1997-08-07,0,26,1.71,Archery,INA,0,0,0
1996-05-04,1,27,1.69,Athletics,JPN,0,0,0
1997-04-01,0,26,1.8,Kabaddi,JPN,0,0,0
1999-06-07,1,24,1.62,Cycling BMX Racing,JPN,0,0,0
1987-01-14,1,36,1.6,Athletics,SRI,0,1,0
1998-12-10,0,24,1.93,Swimming,PHI,0,0,0
2002-01-01,0,21,1.8,Football,SYR,0,0,0
1997-09-10,1,26,1.65,Handball,JPN,1,0,0
1996-12-22,1,26,1.6,Handball,JPN,1,0,0
1997-10-31,1,25,1.75,Swimming,HKG,2,1,3
1991-04-20,1,32,1.72,Rowing,SRI,0,0,0
2000-04-17,1,23,1.68,Football,PHI,0,0,0
1996-01-23,1,27,1.67,Karate,UAE,0,0,1
2002-05-03,0,21,1.75,Karate,IRQ,0,0,1
2001-01-12,0,22,1.73,Football,KSA,0,0,0
2005-03-20,1,18,1.55,Sport Climbing,JPN,0,0,0
1985-01-21,0,38,1.7,Esports,JPN,0,0,0
1995-12-20,0,27,1.74,Squash,JPN,0,0,0
1995-03-16,1,28,1.73,Basketball,JPN,0,1,0
1992-06-27,0,31,1.76,Rugby Sevens,JPN,0,0,1
1992-03-04,0,31,1.8,Rowing,JPN,0,0,0
1992-01-05,0,31,1.87,Cricket,HKG,0,0,0
2004-05-04,0,19,1.74,Hockey,PAK,0,0,0
2000-07-07,1,23,1.66,Table Tennis,JPN,0,2,0
2005-03-21,0,18,1.8,Badminton,IRI,0,0,0
1996-10-03,1,27,1.56,Kurash,TKM,0,0,0
2001-01-17,1,22,1.8,Fencing,IND,0,0,0
1999-04-12,0,24,1.77,Tennis,JPN,0,0,0
2002-07-24,0,21,2.06,3x3 Basketball,JOR,0,0,0
1999-03-31,0,24,1.87,Volleyball,IRI,1,0,0
1997-03-21,1,26,1.7,Badminton,CHN,0,1,1
1992-02-11,0,31,1.7,Diving,CHN,1,0,0
2004-07-07,0,19,1.77,Table Tennis,MAC,0,0,0
2000-02-11,0,23,1.78,Wushu,CHN,1,0,0
2008-11-18,0,14,1.69,Diving,MAC,0,0,0
1997-08-19,1,26,1.6,Hockey,CHN,1,0,0
1991-07-13,1,32,1.61,Wushu,HKG,0,0,0
1998-12-27,0,24,1.65,Athletics,CHN,1,0,0
2005-10-25,0,17,1.76,Swimming,HKG,0,0,0
1998-07-01,0,25,1.75,Athletics,CHN,1,0,0
2000-05-28,1,23,1.65,Softball,CHN,0,1,0
2000-01-02,0,23,2.02,Handball,CHN,0,0,0
1999-12-05,0,23,1.75,Football,CHN,0,0,0
1996-08-20,0,27,1.85,Handball,CHN,0,0,0
2004-12-12,0,18,1.78,Rowing,HKG,0,0,0
1995-07-06,0,28,1.7,Badminton,SGP,0,0,0
1996-12-17,0,26,1.9,Handball,QAT,1,0,0
1998-06-09,0,25,1.83,Roller Skating,IRI,0,0,0
1988-09-20,0,35,1.8,Handball,IRI,0,0,0
2005-07-01,0,18,1.73,Esports,MYA,0,0,0
2000-11-12,0,22,1.81,Dragon Boat,MYA,0,0,1
1999-10-01,0,24,1.7,Esports,MYA,0,0,0
2000-12-08,0,22,1.76,Football,MYA,0,0,0
1999-09-01,0,24,1.6,Diving,IND,0,0,0
2000-03-28,0,23,1.81,Athletics,QAT,0,2,0
2000-12-23,0,22,1.95,Wrestling,TKM,0,0,0
2004-05-12,0,19,1.8,Roller Skating,IRI,0,0,0
1998-04-18,1,25,1.67,Basketball,IND,0,0,0
1990-01-25,0,33,1.78,Athletics,INA,0,0,0
2005-05-04,1,18,1.77,Fencing,SGP,0,0,0
2006-08-18,1,17,1.65,Rhythmic Gymnastics,SGP,0,0,0
1993-11-05,0,29,1.73,Wrestling,CAM,0,0,0
1998-02-08,1,25,1.83,Basketball,PHI,0,0,0
1995-08-16,0,28,1.81,Basketball,KOR,0,0,0
1988-05-31,0,35,1.68,Fencing,KOR,1,0,0
1996-06-19,1,27,1.64,Squash,KOR,0,0,1
1998-04-07,0,25,1.95,Volleyball,KOR,0,0,0
2003-12-18,0,19,1.8,Cycling Mountain Bike,KOR,0,0,0
2003-11-11,0,19,1.63,Baseball,LAO,0,0,0
1998-09-06,0,25,1.86,Rugby Sevens,HKG,1,0,0
2002-10-30,1,20,1.7,Beach Volleyball,INA,0,0,0
2005-09-21,0,18,1.79,Triathlon,PHI,0,0,0
2004-08-17,0,19,1.72,Baseball,LAO,0,0,0
2006-02-26,1,17,1.59,Fencing,UZB,1,0,0
2003-08-16,0,20,1.9,Rugby Sevens,UAE,0,0,0
2000-10-25,0,22,1.65,Shooting,MAS,0,0,0
1998-02-02,1,25,1.5,Karate,SRI,0,0,0
1999-07-21,0,24,1.83,Rugby Sevens,OCA,0,0,0
1999-06-01,0,24,1.6,Boxing,LAO,0,0,0
1996-06-26,0,27,1.8,Rugby Sevens,OCA,0,0,0
1992-09-25,0,31,1.65,Athletics,SRI,0,0,1
2005-05-25,1,18,1.79,Basketball,THA,0,0,0
2003-06-27,1,20,1.7,Volleyball,AFG,0,0,0
2001-09-30,1,22,1.72,Karate,IRI,0,0,0
2002-08-25,0,21,1.79,Canoe Sprint,INA,0,0,0
2006-12-28,0,16,1.67,Archery,INA,0,0,0
2002-09-02,1,21,1.65,Wrestling,INA,0,0,0
1999-09-20,0,24,1.8,Canoe Sprint,VIE,0,0,0
2007-09-15,1,16,1.72,Artistic Swimming,JPN,0,2,0
2000-08-24,0,23,1.75,Taekwondo,JPN,0,0,0
1996-08-01,1,27,1.6,Badminton,JPN,0,1,1
2003-01-21,0,20,1.76,Swimming,MAS,0,0,0
2004-04-13,1,19,1.64,Football,JPN,1,0,0
2004-01-21,0,19,1.75,Athletics,THA,0,0,0
2001-02-15,0,22,1.77,Wrestling,THA,0,0,0
2002-10-16,0,20,1.65,Football,JPN,0,1,0
1997-02-14,0,26,1.73,Swimming,JPN,0,1,1
1998-09-16,0,25,1.58,Weightlifting,JPN,0,0,0
1997-12-05,0,25,1.99,Basketball,JPN,0,0,0
2000-04-14,1,23,1.58,Table Tennis,JPN,0,1,0
2000-03-15,1,23,1.6,Rugby Sevens,JPN,0,1,0
2002-01-14,1,21,1.77,Basketball,JPN,0,1,0
1999-11-06,1,23,1.61,Shooting,JPN,0,0,0
2000-11-07,1,22,1.81,Volleyball,JPN,0,1,0
2000-11-24,1,22,1.64,Athletics,JPN,0,2,0
1999-06-02,0,24,1.72,Soft Tennis,JPN,1,0,0
1994-08-01,1,29,1.7,Badminton,JPN,0,0,2
1996-07-13,1,27,1.67,Rowing,JPN,0,1,0
2001-06-04,1,22,1.65,Shooting,THA,0,0,0
2005-05-01,0,18,1.64,Breaking,JPN,0,0,0
2003-11-22,0,19,1.8,Athletics,QAT,0,0,0
1993-08-12,1,30,1.65,Dragon Boat,MYA,0,0,1
2001-12-17,1,21,1.6,Cycling Track,THA,0,0,0
2000-02-13,0,23,1.9,Tennis,TPE,0,0,0
1998-09-22,0,25,1.68,Sport Climbing,HKG,0,0,0
1999-06-05,0,24,1.82,Athletics,MAC,0,0,0
2001-02-10,0,22,1.9,Go,SGP,0,0,0
2001-10-16,0,21,1.75,Esports,VIE,0,0,0
2011-03-20,0,12,1.48,Go,HKG,0,0,0
1991-12-18,0,31,1.74,Bridge,HKG,1,0,0
2001-08-31,0,22,1.88,3x3 Basketball,MAC,0,0,0
1992-04-23,1,31,1.57,Football,SGP,0,0,0
1997-04-25,0,26,1.88,Swimming,HKG,0,1,0
1992-05-12,1,31,1.6,Rugby Sevens,HKG,0,0,1
2006-12-19,1,16,1.57,Rhythmic Gymnastics,SGP,0,0,0
2001-01-19,0,22,1.75,Dragon Boat,PRK,0,0,0
1994-10-16,1,28,1.68,Karate,HKG,0,0,0
1996-03-04,1,27,1.83,Volleyball,HKG,0,0,0
1997-09-12,0,26,1.75,Go,HKG,0,0,0
1997-04-20,0,26,1.78,Table Tennis,HKG,0,0,0
1993-03-15,1,30,1.58,Football,HKG,0,0,0
2002-04-30,1,21,1.73,Swimming,HKG,0,0,0
1993-08-02,1,30,1.59,Hockey,SGP,0,0,0
1990-07-24,0,33,1.75,Dragon Boat,HKG,0,0,0
2002-04-28,1,21,1.74,3x3 Basketball,HKG,0,0,0
2003-09-17,1,20,1.59,Softball,SGP,0,0,0
1996-10-17,0,26,1.72,Dragon Boat,MAC,0,0,0
1998-05-18,1,25,1.67,Cricket,HKG,0,0,0
2000-08-25,0,23,1.78,Rowing,HKG,0,0,0
1995-10-26,0,27,1.7,Dragon Boat,MAC,0,0,0
2001-09-02,1,22,1.6,Soft Tennis,CAM,0,0,0
1997-11-04,1,25,1.6,Dragon Boat,PRK,0,0,0
1995-06-23,0,28,1.9,Fencing,HKG,0,0,0
2006-05-10,1,17,1.73,Rowing,VIE,0,0,0
1991-02-22,1,32,1.66,Rowing,VIE,0,0,1
2002-10-26,1,20,1.65,Rugby Sevens,HKG,0,0,1
1995-10-26,1,27,1.64,Squash,HKG,0,1,1
1996-04-07,0,27,1.9,Fencing,HKG,0,0,2
1983-07-30,0,40,1.72,Bridge,HKG,1,0,0
1993-06-03,0,30,1.8,Athletics,HKG,0,0,0
2000-05-19,0,23,1.75,Athletics,SGP,0,0,0
1998-08-07,1,25,1.55,Softball,TPE,0,0,1
1998-12-15,0,24,1.75,Fencing,VIE,0,0,0
2006-12-25,1,16,1.62,Archery,VIE,0,0,0
2005-09-03,1,18,1.68,Athletics,VIE,0,0,0
1987-01-09,1,36,1.46,Chess,VIE,0,0,0
1996-04-26,1,27,1.6,Weightlifting,VIE,0,0,0
2005-08-27,1,18,1.65,Canoe Sprint,VIE,0,0,0
2001-02-11,1,22,1.77,Volleyball,VIE,0,0,0
1995-02-06,1,28,1.59,Football,VIE,0,0,0
2002-04-01,1,21,1.71,Archery,VIE,0,0,0
1999-09-12,1,24,1.65,Athletics,VIE,0,0,0
2003-02-02,1,20,1.7,Karate,VIE,0,0,0
2002-06-20,1,21,1.7,Ju-jitsu,VIE,0,0,0
1994-06-04,1,29,1.5,Judo,VIE,0,0,0
1982-07-19,1,41,1.62,Shooting,VIE,0,0,0
1997-09-10,0,26,1.77,Archery,VIE,0,0,0
1998-06-15,0,25,1.73,Table Tennis,IRI,0,0,1
1999-03-30,1,24,1.7,Athletics,PHI,0,0,0
1994-02-17,0,29,1.8,Weightlifting,IRI,0,0,0
2001-09-25,1,22,1.56,Shooting,MAC,0,0,0
1999-10-29,0,23,1.7,Esports,MAC,0,0,0
1984-07-26,1,39,1.63,Triathlon,MAC,0,0,0
2003-12-02,0,19,2,3x3 Basketball,TKM,0,0,0
1995-04-27,0,28,1.77,Ju-jitsu,TKM,0,0,0
1996-04-07,0,27,1.73,Triathlon,JPN,1,0,0
1995-08-14,0,28,1.67,Badminton,JPN,0,0,1
1995-09-18,0,28,1.9,Baseball,HKG,0,0,0
2003-01-01,0,20,1.85,Football,SYR,0,0,0
1997-09-10,0,26,1.72,Esports,THA,0,0,0
1996-07-19,1,27,1.7,Kurash,THA,0,0,1
1999-05-11,0,24,1.71,Wrestling,TKM,0,0,0
2004-01-30,1,19,1.66,Sailing,THA,0,0,1
1989-12-18,0,33,1.92,Volleyball,IRI,1,0,0
2001-12-31,0,21,1.73,Swimming,JPN,2,0,1
1999-07-27,1,24,1.68,Fencing,KOR,0,0,1
1996-08-25,1,27,1.75,Football,KOR,0,0,0
1994-01-31,1,29,1.67,Fencing,KOR,0,1,0
1999-06-16,0,24,1.77,Football,KOR,1,0,0
2003-03-23,0,20,1.94,Swimming,CHN,1,1,0
1985-05-07,1,38,1.6,Hockey,HKG,0,0,0
2003-01-06,1,20,1.63,Wrestling,CHN,0,0,1
1991-10-07,0,32,1.69,Wushu,KOR,0,0,0
1964-05-12,1,59,1.63,Bridge,KOR,0,0,0
1998-10-25,1,24,1.74,Basketball,PRK,0,0,0
1998-10-04,1,25,1.63,Fencing,KOR,0,1,1
1988-11-30,1,34,1.63,Fencing,KOR,0,1,0
1997-06-30,0,26,1.75,Tennis,KOR,0,0,2
2004-02-21,1,19,1.62,Water Polo,KOR,0,0,0
2000-04-05,1,23,1.72,Softball,KOR,0,0,0
2003-08-21,1,20,1.64,Football,PRK,0,1,0
1999-05-25,1,24,1.71,Football,IND,0,0,0
1993-03-19,1,30,1.57,Cricket,BAN,0,0,1
1995-10-11,0,27,1.64,Wushu,INA,1,0,0
1995-02-27,0,28,1.86,Baseball,JPN,0,0,1
2002-11-28,0,20,1.72,Dragon Boat,CAM,0,0,0
2000-05-09,1,23,1.7,Basketball,JPN,0,1,0
1997-11-17,0,25,1.87,Basketball,JPN,0,0,0
1981-09-30,0,42,1.76,Chess,BAN,0,0,0
2005-01-15,0,18,1.72,Hockey,BAN,0,0,0
1995-04-24,0,28,1.77,Hockey,BAN,0,0,0
1999-04-07,0,24,1.77,Football,BAN,0,0,0
2002-07-15,0,21,1.92,Cricket,BAN,0,0,1
1993-05-14,0,30,1.8,Kabaddi,BAN,0,0,0
2002-07-06,0,21,1.75,Football,BAN,0,0,0
1992-03-21,0,31,1.7,Boxing,BAN,0,0,0
2003-12-13,0,19,1.69,Football,BAN,0,0,0
2001-07-01,0,22,1.62,Hockey,BAN,0,0,0
2002-02-04,0,21,1.55,Cricket,BAN,0,0,1
1995-12-31,0,27,1.73,Weightlifting,BAN,0,0,0
1990-11-01,0,32,1.79,Canoe Sprint,AFG,0,0,0
1988-09-16,1,35,1.63,Weightlifting,IRI,0,0,0
1992-06-30,0,31,1.88,Football,IRI,0,0,0
2004-07-01,0,19,1.98,Volleyball,IRI,1,0,0
2003-01-30,0,20,1.82,Taekwondo,IRI,0,1,0
2004-01-15,0,19,1.73,Football,BAN,0,0,0
1991-08-01,0,32,1.73,Wushu,AFG,0,0,1
2007-05-22,1,16,1.62,Roller Skating,TPE,0,0,0
1988-09-20,1,35,1.7,Sailing,TPE,0,0,0
1988-03-19,1,35,1.67,Wushu,TPE,0,0,0
1994-02-27,1,29,1.67,Chess,CHN,1,0,1
1997-03-18,1,26,1.5,Weightlifting,CHN,0,0,1
2001-07-24,0,22,1.7,Baseball,SGP,0,0,0
1993-09-04,0,30,1.86,Athletics,TPE,0,0,0
1979-04-08,0,44,1.68,Esports,TPE,0,1,0
1995-02-09,1,28,1.64,Bridge,TPE,0,1,0
1985-01-07,1,38,1.62,Cycling Track,TPE,0,0,0
1990-04-03,0,33,1.67,Cycling Track,TPE,0,0,0
1998-12-03,0,24,1.78,Dragon Boat,TPE,0,0,0
1993-02-27,1,30,1.63,Rowing,TPE,0,0,0
2001-05-19,1,22,1.7,Fencing,HKG,0,1,0
1999-11-26,1,23,1.56,Wrestling,TPE,0,0,0
1996-05-21,0,27,1.75,Roller Skating,TPE,0,0,0
1992-02-20,0,31,1.75,Rugby Sevens,TPE,0,0,0
1998-10-30,0,24,1.87,Basketball,TPE,0,0,0
1998-06-29,1,25,1.63,Swimming,TPE,0,0,0
2003-03-31,1,20,1.62,Soft Tennis,TPE,0,1,0
2000-09-12,0,23,1.7,Athletics,TPE,0,0,0
1997-12-24,0,25,1.74,Go,TPE,0,0,0
2006-12-26,0,16,1.64,Go,TPE,0,0,0
2000-11-02,0,22,1.88,Taekwondo,TPE,0,0,0
2001-04-30,0,22,1.73,Go,TPE,1,0,0
1992-10-06,1,31,1.66,Sepaktakraw,MYA,0,0,0
2000-07-15,1,23,1.64,3x3 Basketball,TPE,0,0,0
1999-05-31,1,24,1.71,Judo,TPE,0,0,0
2003-05-10,1,20,1.64,Volleyball,TPE,0,0,0
1997-09-28,1,26,1.63,Badminton,TPE,0,0,0
1991-07-30,1,32,1.68,Badminton,TPE,0,0,0
1997-04-29,1,26,1.61,Football,TPE,0,0,0
1999-04-02,0,24,1.78,Tennis,TPE,1,0,1
1997-04-18,1,26,1.76,Basketball,TPE,0,0,0
2002-06-05,1,21,1.58,Football,MYA,0,0,0
2005-01-14,0,18,1.68,Esports,MYA,0,0,0
2000-01-21,0,23,1.87,Football,MYA,0,0,0
1999-10-10,0,23,1.71,Dragon Boat,MYA,0,0,1
1998-09-28,0,25,1.86,Athletics,CHN,0,0,0
1997-02-09,0,26,1.97,Handball,CHN,0,0,0
1997-09-24,0,26,2.11,Basketball,CHN,0,0,1
1987-10-12,0,35,1.73,Bridge,CHN,0,1,0
1977-01-10,0,46,1.77,Bridge,CHN,0,0,1
1998-03-10,0,25,1.91,Basketball,CHN,0,0,1
1996-12-21,0,26,1.68,Esports,TPE,0,1,0
2001-11-30,1,21,1.76,Volleyball,TPE,0,0,0
1999-09-20,1,24,1.7,Sailing,CHN,1,0,0
1998-11-13,1,24,1.52,Trampoline Gymnastics,CHN,0,1,0
1999-04-09,1,24,1.64,Rugby Sevens,CHN,1,0,0
2000-06-02,1,23,1.62,Kabaddi,TPE,0,1,0
2002-08-26,1,21,1.76,Handball,CHN,0,0,1
1991-06-14,0,32,1.96,Water Polo,CHN,0,1,0
1994-08-26,0,29,1.84,Rugby Sevens,CHN,0,0,0
2005-06-18,0,18,1.7,Wushu,VIE,0,0,1
2002-01-16,0,21,1.89,Baseball,CHN,0,0,0
1997-05-31,0,26,1.67,Wushu,THA,0,0,0
2001-09-09,1,22,1.63,Triathlon,CHN,0,1,0
2001-01-29,0,22,1.81,Rugby Sevens,CHN,0,0,0
1996-09-26,0,27,1.9,Athletics,CHN,0,1,0
1999-08-20,0,24,1.65,Esports,CHN,1,0,0
2003-09-15,0,20,1.72,Athletics,TPE,0,0,0
2001-10-24,1,21,1.72,3x3 Basketball,TPE,0,0,0
1985-01-23,0,38,1.75,Kurash,TPE,0,0,1
1995-01-20,1,28,1.65,Badminton,CHN,0,1,1
1997-08-20,1,26,1.65,Athletics,CHN,0,0,0
2000-06-28,1,23,1.75,Hockey,CHN,1,0,0
1997-08-31,1,26,1.76,Boxing,TPE,0,0,0
1990-03-18,1,33,1.69,Archery,TPE,0,1,0
2000-10-07,0,23,1.83,Football,CHN,0,0,0
1995-08-13,0,28,1.73,Kabaddi,TPE,0,0,1
2005-11-26,0,17,1.68,Sport Climbing,CHN,0,0,0
1994-01-03,0,29,1.76,Hockey,CHN,0,0,0
2002-08-14,1,21,1.75,Canoe Slalom,CHN,1,0,0
2000-04-29,0,23,1.72,Wrestling,TPE,0,0,0
1991-12-29,0,31,1.61,Wushu,MAC,0,0,1
1994-12-06,1,28,1.75,Basketball,TPE,0,0,0
1999-10-10,1,23,1.79,Volleyball,TPE,0,0,0
1998-06-13,1,25,1.7,Swimming,TPE,0,0,0
1998-01-15,0,25,1.75,Handball,CHN,0,0,0
2007-05-28,0,16,1.78,Roller Skating,TPE,0,0,1
2002-02-23,1,21,1.66,Fencing,CHN,2,0,0
2002-06-25,1,21,1.62,Soft Tennis,TPE,0,1,1
1992-03-02,0,31,1.76,Athletics,TPE,0,0,0
1996-01-08,1,27,1.92,Basketball,CHN,1,0,0
1991-10-08,1,32,1.7,Shooting,CHN,0,1,0
2000-07-09,1,23,1.67,Kabaddi,TPE,0,1,0
1990-05-29,1,33,1.61,Cycling Track,TPE,0,0,0
1999-11-22,0,23,1.73,Tennis,TPE,0,1,0
2000-11-18,0,22,1.8,Football,TPE,0,0,0
2004-07-12,0,19,1.74,Esports,TPE,0,0,0
2000-07-07,0,23,1.8,Kabaddi,TPE,0,0,1
2001-05-26,0,22,1.71,Shooting,TPE,0,0,0
1997-09-09,1,26,1.67,Sailing,CHN,1,0,0
1971-02-11,1,52,1.68,Bridge,CHN,1,0,0
2003-03-11,0,20,1.76,Table Tennis,TPE,0,0,1
1994-02-28,1,29,1.64,Badminton,CHN,1,1,0
2004-07-02,0,19,1.64,Artistic Gymnastics,TPE,0,0,1
1990-01-16,1,33,1.74,Rowing,TPE,0,0,0
1984-07-20,1,39,1.66,Table Tennis,TPE,0,0,0
2000-05-01,1,23,1.75,Kabaddi,TPE,0,1,0
1999-11-11,0,23,1.82,Taekwondo,TPE,0,0,0
1995-01-15,0,28,1.74,Roller Skating,TPE,1,0,0
2006-09-03,1,17,1.62,Shooting,CHN,3,0,0
1997-01-12,1,26,1.65,Cycling Track,CHN,0,0,0
2001-06-09,0,22,1.85,Football,CHN,0,0,0
2008-12-31,1,14,1.62,Sailing,HKG,0,0,0
1997-06-02,1,26,1.61,Rugby Sevens,THA,0,0,0
2000-10-28,0,22,1.8,Dragon Boat,HKG,0,0,0
1993-01-16,0,30,1.59,Sepaktakraw,PHI,0,0,2
2002-12-19,1,20,1.59,Judo,KOR,0,0,0
1981-10-20,1,41,1.69,Softball,HKG,0,0,0
1997-06-06,0,26,1.76,Wushu,HKG,0,1,0
1992-03-26,0,31,1.79,Athletics,HKG,0,0,0
1994-03-22,1,29,1.63,Rowing,HKG,0,0,0
2001-09-03,1,22,1.79,Handball,HKG,0,0,0
1997-02-14,0,26,1.83,Esports,TPE,0,1,0
1992-12-04,0,30,1.7,Karate,HKG,0,0,0
2004-02-06,1,19,1.58,Roller Skating,TPE,1,0,0
2002-07-17,0,21,1.78,Esports,HKG,0,0,0
1999-02-06,0,24,1.78,Esports,HKG,0,0,0
2007-05-21,1,16,1.61,Artistic Swimming,HKG,0,0,0
2000-08-08,0,23,1.74,Dragon Boat,HKG,0,0,0
1999-04-10,1,24,1.73,Rowing,HKG,0,0,0
2005-12-16,1,17,1.67,Swimming,KOR,0,1,2
2005-09-23,1,18,1.69,Artistic Swimming,KOR,0,0,0
1996-09-02,0,27,1.66,Karate,KUW,0,0,1
1998-03-26,0,25,1.7,Taekwondo,BAN,0,0,0
1999-05-19,1,24,1.6,Sepaktakraw,INA,0,0,1
2000-02-19,0,23,1.7,Esports,MDV,0,0,0
1997-10-17,0,25,1.78,Kabaddi,PAK,0,0,1
1999-01-25,0,24,1.75,Hockey,PAK,0,0,0
2008-12-09,1,14,1.64,Swimming,MDV,0,0,0
2003-03-05,1,20,1.45,Athletics,MDV,0,0,0
1996-10-12,0,26,1.8,Esports,QAT,0,0,0
2004-12-12,0,18,1.79,Cricket,MDV,0,0,0
2002-05-02,0,21,1.75,Football,PLE,0,0,0
2003-11-19,0,19,1.7,Fencing,QAT,0,0,0
1990-03-03,0,33,2.11,Basketball,JOR,0,1,0
2006-04-13,0,17,1.82,Swimming,NEP,0,0,0
1997-07-26,0,26,1.7,Soft Tennis,INA,0,0,1
2007-01-22,0,16,1.65,Skateboarding,INA,0,0,0
2001-05-29,0,22,1.76,Sepaktakraw,VIE,0,0,1
1994-05-04,0,29,1.62,Esports,VIE,0,0,0
2006-10-24,1,16,1.65,Tennis,VIE,0,0,0
1984-08-12,0,39,1.65,Esports,VIE,0,0,0
2002-08-05,0,21,1.75,Football,PRK,0,0,0
1996-06-21,0,27,1.82,Dragon Boat,PRK,0,0,0
2003-02-17,1,20,1.63,Cycling Track,KOR,0,1,0
1999-03-27,1,24,1.69,Boxing,PRK,0,0,0
1978-02-10,0,45,1.86,Bridge,KOR,0,0,0
1987-06-12,0,36,1.84,Rugby Sevens,KOR,0,1,0
2002-08-16,0,21,1.8,Football,KOR,1,0,0
2009-11-06,1,13,1.75,Roller Skating,KOR,0,0,0
2003-02-24,0,20,1.8,Dragon Boat,KOR,0,0,0
1999-06-30,0,24,1.8,Canoe Sprint,KOR,0,0,0
1999-06-09,1,24,1.65,Karate,KOR,0,0,0
2003-05-21,0,20,1.87,Swimming,KOR,2,2,2
1991-10-31,0,31,1.67,Hockey,KOR,0,0,1
1996-11-12,0,26,1.89,Volleyball,KOR,0,0,0
2003-02-17,0,20,1.79,Athletics,THA,0,0,0
1995-08-06,0,28,1.81,Boxing,JOR,0,0,0
2001-01-12,0,22,1.8,Football,UZB,0,0,1
1985-06-02,0,38,1.9,Wrestling,UZB,0,0,0
1991-11-18,0,31,1.92,Canoe Sprint,UZB,0,0,0
1996-07-08,1,27,1.75,Boxing,KAZ,0,1,0
2003-08-18,1,20,1.7,Esports,UZB,0,0,0
